CITY_NAME,LONG,LAT
"Chicago, IL",-87.629798,41.878114
"Atlanta, GA",-84.387982,33.748995
"Dallas/Fort Worth, TX",-96.796988,32.776664
"Houston, TX",-95.369803,29.760427
"New York, NY",-74.005941,40.712784
"Denver, CO",-104.990251,39.739236
"Los Angeles, CA",-118.243685,34.052234
"Phoenix, AZ",-112.074037,33.448377
"San Francisco, CA",-122.419416,37.774929
"Las Vegas, NV",-115.13983,36.169941
"Minneapolis, MN",-93.265011,44.977753
"Detroit, MI",-83.045754,42.331427
"Orlando, FL",-81.379236,28.538335
"Seattle, WA",-122.332071,47.606209
"Boston, MA",-71.05888,42.360082
"Washington, DC",-77.036871,38.907192
"Newark, NJ",-74.172367,40.735657
"Charlotte, NC",-80.843127,35.227087
"Salt Lake City, UT",-111.891047,40.760779
"Baltimore, MD",-76.612189,39.290385
"San Diego, CA",-117.161084,32.715738
"Fort Lauderdale, FL",-80.137317,26.122439
"Miami, FL",-80.19179,25.76168
"Philadelphia, PA",-75.165222,39.952584
"Tampa, FL",-82.457178,27.950575
"Dallas, TX",-96.796988,32.776664
"Nashville, TN",-86.781602,36.162664
"St. Louis, MO",-90.199404,38.627003
"Portland, OR",-122.676482,45.523062
"Austin, TX",-97.743061,30.267153
"Oakland, CA",-122.271114,37.804364
"Kansas City, MO",-94.578567,39.099727
"New Orleans, LA",-90.071532,29.951066
"San Jose, CA",-121.886329,37.338208
"Sacramento, CA",-121.4944,38.581572
"Cleveland, OH",-81.694361,41.49932
"Santa Ana, CA",-117.867834,33.745573
"Raleigh/Durham, NC",-78.638179,35.77959
"San Antonio, TX",-98.493628,29.424122
"Milwaukee, WI",-87.906474,43.038902
"Indianapolis, IN",-86.158068,39.768403
"Pittsburgh, PA",-79.995886,40.440625
"Columbus, OH",-82.998794,39.961176
"Fort Myers, FL",-81.872308,26.640628
"Cincinnati, OH",-84.51202,39.103118
"West Palm Beach/Palm Beach, FL",-80.053375,26.715342
"Albuquerque, NM",-106.605553,35.085334
