,State, Facility Name, Facility ID (ORISPL), Month, Year, SO2 (tons), NOx (tons), CO2 (short tons), Gross Load (MW-h), County
1,CT,Alfred L Pierce Generating Station,6635,1,2012,,,,,New Haven
2,CT,Alfred L Pierce Generating Station,6635,2,2012,,,,,New Haven
3,CT,Alfred L Pierce Generating Station,6635,3,2012,0.008,0.14,179.457,227.57,New Haven
4,CT,Alfred L Pierce Generating Station,6635,4,2012,0.003,0.221,624.061,869.54,New Haven
5,CT,Alfred L Pierce Generating Station,6635,5,2012,0.008,0.47,1580.169,2445.12,New Haven
6,CT,Alfred L Pierce Generating Station,6635,6,2012,0,0.048,69.387,102.21,New Haven
7,CT,Alfred L Pierce Generating Station,6635,7,2012,0.001,0.053,158.102,234.75,New Haven
8,CT,Alfred L Pierce Generating Station,6635,8,2012,0,0.005,3.68,0.92,New Haven
9,CT,Alfred L Pierce Generating Station,6635,9,2012,0.009,0.633,1143.78,1054.15,New Haven
10,CT,Alfred L Pierce Generating Station,6635,10,2012,0.003,0.268,571.498,831.89,New Haven
11,CT,Alfred L Pierce Generating Station,6635,11,2012,0.002,0.148,433.4,652.91,New Haven
12,CT,Alfred L Pierce Generating Station,6635,12,2012,0.001,0.049,145.393,217.28,New Haven
13,CT,Alfred L Pierce Generating Station,6635,1,2013,0.004,0.222,672.127,997.8,New Haven
14,CT,Alfred L Pierce Generating Station,6635,2,2013,0.003,0.231,369.221,465,New Haven
15,CT,Alfred L Pierce Generating Station,6635,3,2013,0.003,0.278,455.055,548.88,New Haven
16,CT,Alfred L Pierce Generating Station,6635,4,2013,0,0.033,74.546,103.08,New Haven
17,CT,Alfred L Pierce Generating Station,6635,5,2013,0.001,0.089,233.729,313.76,New Haven
18,CT,Alfred L Pierce Generating Station,6635,6,2013,0.001,0.079,228.629,300.02,New Haven
19,CT,Alfred L Pierce Generating Station,6635,7,2013,0.006,0.385,1308.358,1791.13,New Haven
20,CT,Alfred L Pierce Generating Station,6635,8,2013,0.003,0.188,565.884,768.43,New Haven
21,CT,Alfred L Pierce Generating Station,6635,9,2013,0.003,0.155,552.912,759.32,New Haven
22,CT,Alfred L Pierce Generating Station,6635,10,2013,0.004,0.296,659.063,873.83,New Haven
23,CT,Alfred L Pierce Generating Station,6635,11,2013,0.002,0.169,471.546,653.94,New Haven
24,CT,Alfred L Pierce Generating Station,6635,12,2013,0.006,0.412,1131.154,1581.02,New Haven
25,CT,Alfred L Pierce Generating Station,6635,1,2014,0.015,0.936,2799.665,3924.43,New Haven
26,CT,Alfred L Pierce Generating Station,6635,2,2014,0.006,0.506,1005.266,1259.17,New Haven
27,CT,Alfred L Pierce Generating Station,6635,3,2014,0.014,1.237,1631.194,1753.23,New Haven
28,CT,Alfred L Pierce Generating Station,6635,4,2014,0,0.003,2.603,0.26,New Haven
29,CT,Alfred L Pierce Generating Station,6635,5,2014,0.002,0.138,366.601,494.4,New Haven
30,CT,Alfred L Pierce Generating Station,6635,6,2014,0.003,0.243,588.676,772.35,New Haven
31,CT,Alfred L Pierce Generating Station,6635,7,2014,0,0.025,63.534,83.88,New Haven
32,CT,Alfred L Pierce Generating Station,6635,8,2014,0.001,0.097,271.616,366.48,New Haven
33,CT,Alfred L Pierce Generating Station,6635,9,2014,0.008,0.494,1593.627,2207.07,New Haven
