,State, Facility Name, Facility ID (ORISPL), Unit ID, Year, Owner, Representative (Primary), County Code, Facility Latitude, Facility Longitude, Fuel Type (Primary), Commercial Operation Date
1,CT,AES Thames,10675,UNITA,2009,AES Corporation,"Boucher, Mark  (1767) (Started Apr 14, 2009)",CT011,41.4282,-72.1005,Coal,03/05/1990
2,CT,AES Thames,10675,UNITA,2010,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
3,CT,AES Thames,10675,UNITA,2011,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
4,CT,AES Thames,10675,UNITA,2012,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
5,CT,AES Thames,10675,UNITA,2013,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
6,CT,AES Thames,10675,UNITA,2014,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
7,CT,AES Thames,10675,UNITA,2015,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
8,CT,AES Thames,10675,UNITB,2009,AES Corporation,"Boucher, Mark  (1767) (Started Apr 14, 2009)",CT011,41.4282,-72.1005,Coal,03/05/1990
9,CT,AES Thames,10675,UNITB,2010,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
10,CT,AES Thames,10675,UNITB,2011,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
11,CT,AES Thames,10675,UNITB,2012,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
12,CT,AES Thames,10675,UNITB,2013,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
13,CT,AES Thames,10675,UNITB,2014,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
14,CT,AES Thames,10675,UNITB,2015,AES Corporation,"Boucher, Mark  (1767)",CT011,41.4282,-72.1005,Coal,03/05/1990
15,CT,Alfred L Pierce Generating Station,6635,AP-1,2009,Connecticut Municipal Electric Energy Coop,"Cyr, Michael  (603761) (Started Jan 06, 2009) (Ended Jan 30, 2009)<br>Scully, Maurice  (603713) (Started Jan 30, 2009)",CT009,41.4485,-72.834,Pipeline Natural Gas,08/25/2007
16,CT,Alfred L Pierce Generating Station,6635,AP-1,2010,Connecticut Municipal Electric Energy Coop,"Scully, Maurice  (603713)",CT009,41.4485,-72.834,Pipeline Natural Gas,08/25/2007
17,CT,Alfred L Pierce Generating Station,6635,AP-1,2011,Connecticut Municipal Electric Energy Coop,"Scully, Maurice  (603713) (Ended Feb 28, 2011)<br>Rankin, Drew A (605687) (Started Feb 28, 2011)",CT009,41.4485,-72.834,Pipeline Natural Gas,08/25/2007
18,CT,Alfred L Pierce Generating Station,6635,AP-1,2012,Connecticut Municipal Electric Energy Coop,"Rankin, Drew A (605687)",CT009,41.4485,-72.834,Pipeline Natural Gas,08/25/2007
19,CT,Alfred L Pierce Generating Station,6635,AP-1,2013,Connecticut Municipal Electric Energy Coop,"Rankin, Drew A (605687)",CT009,41.4485,-72.834,Pipeline Natural Gas,08/25/2007
