shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BX010026,40.8096632186,-73.9282399254,10001
BX010026,40.8096200613,-73.9281352127,10002
BX010026,40.810075463,-73.9277807048,10003
BX010026,40.8101303052,-73.9276975597,10004
BX010026,40.8108600814,-73.9271910235,10005
BX010026,40.8109698381,-73.927140329,10006
BX010026,40.8110357637,-73.9272233435,10007
BX010026,40.8111044363,-73.9273099676,10008
BX010026,40.8117252539,-73.9281257146,10009
BX010026,40.8120356649,-73.9285408188,10010
BX010026,40.8123378359,-73.9289487106,10011
BX010026,40.8126207747,-73.9293277262,10012
BX010026,40.8127224088,-73.9294576702,10013
BX010026,40.8127333987,-73.9294757213,10014
BX010026,40.8128157644,-73.9295153722,10015
BX010026,40.8128404845,-73.9295442465,10016
BX010026,40.8129119001,-73.9296308724,10017
BX010026,40.8130904364,-73.9298438255,10018
BX010026,40.8135209022,-73.9295482226,10019
BX010026,40.8135209022,-73.9295482226,20001
BX010026,40.8142345027,-73.9290586775,20002
BX010026,40.8144183563,-73.9289898412,20003
BX010026,40.8148628752,-73.9287870574,20004
BX010026,40.8165147983,-73.9281494439,20005
BX010026,40.8168196596,-73.9280266417,20006
BX010026,40.8168196596,-73.9280266417,30001
BX010026,40.8171980605,-73.9278741336,30002
BX010026,40.8175684881,-73.927700317,30003
BX010026,40.8176315961,-73.927667733,30004
BX010026,40.8185398277,-73.9272404272,30005
BX010026,40.8188685463,-73.9270850749,30006
BX010026,40.8188685463,-73.9270850749,40001
BX010026,40.8194590318,-73.9268058718,40002
BX010026,40.8199831156,-73.9265596148,40003
BX010026,40.8205428499,-73.9262663458,40004
BX010026,40.8207238991,-73.9261071737,40005
BX010026,40.8207760139,-73.926052921,40006
BX010026,40.821095269,-73.9256959622,40007
BX010026,40.821095269,-73.9256959622,50001
BX010026,40.8211353132,-73.9256514775,50002
BX010026,40.8213520054,-73.925434454,50003
BX010026,40.8215906829,-73.9252607609,50004
BX010026,40.8221229432,-73.9249313742,50005
BX010026,40.8229598063,-73.9245113093,50006
BX010026,40.8232259746,-73.9244062268,50007
BX010026,40.8234345488,-73.9243698585,50008
BX010026,40.8236900505,-73.9243225971,50009
BX010026,40.8236900505,-73.9243225971,60001
BX010026,40.8238462055,-73.9242935143,60002
BX010026,40.8240163301,-73.9242210574,60003
BX010026,40.8253908876,-73.923399286,60004
BX010026,40.8260767904,-73.9229865826,60005
BX010026,40.8264279657,-73.9227657649,60006
BX010026,40.8264545812,-73.9227534488,60007
BX010026,40.8264545812,-73.9227534488,70001
