shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010135,40.821121912,-73.9357809276,10001
M010135,40.8211056969,-73.9357426453,10002
M010135,40.8204362581,-73.9362310431,10003
M010135,40.8203457764,-73.9364009393,10004
M010135,40.8201298529,-73.9365561414,10005
M010135,40.8201298529,-73.9365561414,20001
M010135,40.819802538,-73.9367916558,20002
M010135,40.8191715048,-73.937251094,20003
M010135,40.8185487,-73.93770329,20004
M010135,40.8182224826,-73.9379427662,20005
M010135,40.8182224826,-73.9379427662,30001
M010135,40.817917665,-73.9381663237,30002
M010135,40.8173003439,-73.9386148848,30003
M010135,40.8166775355,-73.9390706681,30004
M010135,40.8166170696,-73.9389153745,30005
M010135,40.8165194947,-73.9386564292,30006
M010135,40.8165194947,-73.9386564292,40001
M010135,40.8164549029,-73.9384856054,40002
M010135,40.8153253361,-73.9357554519,40003
M010135,40.8148287436,-73.9361171981,40004
M010135,40.8147848422,-73.9361425289,40005
M010135,40.8147848422,-73.9361425289,40006
M010135,40.8147848422,-73.9361425289,50001
M010135,40.8146668655,-73.9362257332,50002
M010135,40.8140413254,-73.9366887487,50003
M010135,40.813749131,-73.9369036157,50004
M010135,40.813749131,-73.9369036157,60001
M010135,40.813421269,-73.9371445252,60002
M010135,40.8127463359,-73.9376364701,60003
M010135,40.8123243649,-73.9379450145,60004
M010135,40.8123243649,-73.9379450145,70001
M010135,40.810855965,-73.9390181983,70002
M010135,40.8105895567,-73.9392145978,70003
M010135,40.8105895567,-73.9392145978,80001
M010135,40.8102084632,-73.9394956306,80002
M010135,40.8095801593,-73.9399477497,80003
M010135,40.8089573447,-73.9404034677,80004
M010135,40.8083317855,-73.9408627919,80005
M010135,40.807711712,-73.9413184903,80006
M010135,40.80708889,-73.9417705704,80007
M010135,40.8064139365,-73.9422624217,80008
M010135,40.8061066404,-73.9424873667,80009
M010135,40.8061066404,-73.9424873667,90001
M010135,40.8057417255,-73.9427542605,90002
M010135,40.8063902381,-73.9443033409,90003
M010135,40.8062311107,-73.9444407377,90004
M010135,40.8057591823,-73.9447806762,90005
M010135,40.80513635,-73.9452399349,90006
M010135,40.8045135124,-73.9456919608,90007
M010135,40.8038769427,-73.9461295411,90008
M010135,40.8032257183,-73.9445985639,90009
M010135,40.8025973936,-73.9450505874,90010
M010135,40.8019690705,-73.9455098263,90011
M010135,40.8013407455,-73.9459690565,90012
M010135,40.8006630288,-73.9464608249,90013
M010135,40.8003129209,-73.9467168276,90014
M010135,40.8003129209,-73.9467168276,100001
M010135,40.7999606173,-73.9469742741,100002
M010135,40.7981277504,-73.9483120859,100003
M010135,40.797474721,-73.9487929525,100004
M010135,40.7970768659,-73.9490858066,100005
M010135,40.7966241282,-73.9494075924,100006
M010135,40.7965031235,-73.949493281,100007
M010135,40.7965031235,-73.949493281,110001
M010135,40.796215291,-73.9496968357,110002
M010135,40.7955869503,-73.9501595983,110003
M010135,40.7949640941,-73.950615125,110004
M010135,40.7942836136,-73.9511104125,110005
M010135,40.7941442245,-73.9512116382,110006
M010135,40.7941442245,-73.9512116382,120001
M010135,40.7936058741,-73.9516020765,120002
M010135,40.7923464273,-73.9525202998,120003
M010135,40.7917208196,-73.9529830069,120004
M010135,40.7915399949,-73.9531124229,120005
M010135,40.7915399949,-73.9531124229,130001
M010135,40.7910842282,-73.9534384903,130002
M010135,40.789204639,-73.9548157015,130003
M010135,40.7885817651,-73.9552747522,130004
M010135,40.7881841674,-73.9555675282,130005
M010135,40.7881841674,-73.9555675282,140001
M010135,40.7879040101,-73.955773554,140002
M010135,40.7872207592,-73.9562615158,140003
M010135,40.7866006241,-73.9567205374,140004
M010135,40.7859832278,-73.9571687155,140005
M010135,40.7853411338,-73.9576349563,140006
M010135,40.7847155049,-73.9580975667,140007
M010135,40.784098107,-73.9585565523,140008
M010135,40.7834669797,-73.9590047049,140009
M010135,40.7828331109,-73.9594672944,140010
M010135,40.7822129614,-73.9599226451,140011
M010135,40.7815324396,-73.9604177427,140012
M010135,40.7808491721,-73.9609164426,140013
M010135,40.7804005193,-73.9612438444,140014
M010135,40.7804005193,-73.9612438444,150001
M010135,40.7802399919,-73.9613609274,150002
M010135,40.7795841603,-73.9618379277,150003
M010135,40.7789447915,-73.9623040771,150004
M010135,40.7783109091,-73.9627666038,150005
M010135,40.7776770247,-73.9632291217,150006
M010135,40.7769937446,-73.9637277639,150007
M010135,40.7763104623,-73.9642263959,150008
M010135,40.7762141439,-73.9642961316,150009
M010135,40.7762141439,-73.9642961316,160001
M010135,40.7756765708,-73.9646852754,160002
M010135,40.7750426785,-73.9651477568,160003
M010135,40.7744060395,-73.9656102307,160004
M010135,40.7737721434,-73.9660726944,160005
M010135,40.7731382453,-73.9665351493,160006
M010135,40.772460441,-73.9670373312,160007
M010135,40.7721764195,-73.9672421789,160008
M010135,40.7721764195,-73.9672421789,170001
M010135,40.7717743981,-73.9675322863,170002
M010135,40.7711459835,-73.9679947108,170003
M010135,40.7705477501,-73.9684246199,170004
M010135,40.7705148182,-73.9684426868,170005
M010135,40.7699001235,-73.9689050876,170006
M010135,40.7692689575,-73.9693638772,170007
M010135,40.7686460247,-73.9698262645,170008
M010135,40.768198718,-73.9701531847,170009
M010135,40.768198718,-73.9701531847,180001
M010135,40.7680230881,-73.9702814229,180002
M010135,40.7673919137,-73.9707293563,180003
M010135,40.7667662297,-73.9711881089,180004
M010135,40.7661405437,-73.971646853,180005
M010135,40.7655148541,-73.9720983684,180006
M010135,40.7648973978,-73.9725534819,180007
M010135,40.7644078231,-73.9729182869,180008
M010135,40.7644078231,-73.9729182869,190001
M010135,40.7642771966,-73.973015808,190002
M010135,40.7636569901,-73.9734636858,190003
M010135,40.7629654317,-73.973969341,190004
M010135,40.7622930802,-73.9744569292,190005
M010135,40.7617609615,-73.9748469904,190006
M010135,40.7617609615,-73.9748469904,200001
M010135,40.7616673809,-73.9749156117,200002
M010135,40.7610389349,-73.9753742866,200003
M010135,40.7604187205,-73.9758293402,200004
M010135,40.7597847812,-73.9762879998,200005
M010135,40.7591645638,-73.9767466459,200006
M010135,40.7585361096,-73.9772016767,200007
M010135,40.7579965709,-73.9775938623,200008
M010135,40.7579965709,-73.9775938623,210001
M010135,40.7579103983,-73.977656698,210002
M010135,40.757281941,-73.9781153212,210003
M010135,40.7566534805,-73.9785667167,210004
M010135,40.756030509,-73.9790253209,210005
M010135,40.7554047909,-73.9794839174,210006
M010135,40.7547818144,-73.9799352857,210007
M010135,40.7541533484,-73.9803974752,210008
M010135,40.7534809694,-73.9808885433,210009
M010135,40.7529820349,-73.9812503397,210010
M010135,40.7529820349,-73.9812503397,220001
M010135,40.7528140766,-73.9813723814,220002
M010135,40.7521965819,-73.9818237129,220003
M010135,40.7515763407,-73.9822750368,220004
M010135,40.7509588418,-73.9827227424,220005
M010135,40.7503413417,-73.9831740488,220006
M010135,40.7497238392,-73.9836217377,220007
M010135,40.7491008464,-73.9840766378,220008
M010135,40.7484394293,-73.9845604109,220009
M010135,40.7477725211,-73.9850477847,220010
M010135,40.7474695296,-73.985266559,220011
M010135,40.7474695296,-73.985266559,230001
M010135,40.7471522663,-73.9854954396,230002
M010135,40.7465347554,-73.9859503035,230003
M010135,40.7459199861,-73.9863943316,230004
M010135,40.7452997264,-73.9868455704,230005
M010135,40.7446822097,-73.9872968003,230006
M010135,40.744064691,-73.9877480218,230007
M010135,40.743449915,-73.9881956256,230008
M010135,40.743318175,-73.9882714336,230009
M010135,40.7430766568,-73.9884627412,230010
M010135,40.7428131792,-73.988643225,230011
M010135,40.7426704595,-73.9887154244,230012
M010135,40.7422121205,-73.9890619401,230013
M010135,40.7419047307,-73.9892929482,230014
M010135,40.7418470934,-73.9893182184,230015
M010135,40.7415424495,-73.9895672671,230016
M010135,40.741152173,-73.9898621568,230017
M010135,40.741152173,-73.9898621568,240001
M010135,40.7408782654,-73.9900689745,240002
M010135,40.7402607353,-73.990516536,240003
M010135,40.7396733942,-73.990946042,240004
M010135,40.7390860515,-73.9913755405,240005
M010135,40.7385041961,-73.9917978137,240006
M010135,40.7379168498,-73.9922236887,240007
M010135,40.7373295021,-73.9926531646,240008
M010135,40.7366900048,-73.9931187227,240009
M010135,40.7360038466,-73.9936167519,240010
M010135,40.7356725686,-73.9938571014,240011
M010135,40.7356725686,-73.9938571014,250001
M010135,40.7353121969,-73.9941183796,250002
M010135,40.7346726934,-73.9945839095,250003
M010135,40.734033188,-73.9950494305,250004
M010135,40.7334348509,-73.995489682,250005
M010135,40.7328474906,-73.995915492,250006
M010135,40.7322546395,-73.9963521194,250007
M010135,40.7320561783,-73.9958816236,250008
M010135,40.7320561783,-73.9958816236,260001
M010135,40.7315958396,-73.9947898244,260002
M010135,40.7314596851,-73.9944701532,260003
M010135,40.7314596851,-73.9944701532,270001
M010135,40.7312746673,-73.9940357488,270002
M010135,40.730945254,-73.9932492082,270003
M010135,40.7307574861,-73.9928036257,270004
M010135,40.7307574861,-73.9928036257,280001
M010135,40.7305911289,-73.9924085567,280002
M010135,40.7301137345,-73.9912475327,280003
M010135,40.7301137345,-73.9912475327,290001
M010135,40.7300393379,-73.9910664173,290002
M010135,40.7299405082,-73.9908282983,290003
M010135,40.729819732,-73.9907381134,290004
M010135,40.7304754362,-73.9905345258,290005
M010137,40.7306436867,-73.9905023898,10001
M010137,40.7308188009,-73.9904926229,10002
M010137,40.7312881447,-73.9903915281,10003
M010137,40.7319962748,-73.9902110171,10004
M010137,40.7327565545,-73.9900268863,10005
M010137,40.7335250702,-73.9898680079,10006
M010137,40.7339532488,-73.9898426848,10007
M010137,40.7343045794,-73.989875106,10008
M010137,40.7344720144,-73.9899364218,10009
M010137,40.7349935251,-73.9900337682,10010
M010137,40.7352295721,-73.9900192995,10011
M010137,40.7353475875,-73.9899182478,10012
M010137,40.735601734,-73.9897240789,10013
M010137,40.735601734,-73.9897240789,20001
M010137,40.7356165546,-73.9897125299,20002
M010137,40.7359184589,-73.9895140219,20003
M010137,40.7359870723,-73.9894562768,20004
M010137,40.7362148697,-73.9892758205,20005
M010137,40.7365442177,-73.9890448284,20006
M010137,40.73660734,-73.9889726495,20007
M010137,40.7371480169,-73.9885792384,20008
M010137,40.7377326057,-73.9881605537,20009
M010137,40.7383171915,-73.9877274275,20010
M010137,40.7389017763,-73.9873015109,20011
M010137,40.7395220384,-73.9868503197,20012
M010137,40.7401862107,-73.9863666335,20013
M010137,40.7405413498,-73.9861070997,20014
M010137,40.7405413498,-73.9861070997,30001
M010137,40.7408531252,-73.9858793284,30002
M010137,40.7414678921,-73.985428112,30003
M010137,40.7420966173,-73.9869147686,30004
M010137,40.7421405491,-73.9870555002,30005
M010137,40.7427717881,-73.9865970651,30006
M010137,40.7433893023,-73.9861458416,30007
M010137,40.7440068147,-73.9856946098,30008
M010137,40.74423351,-73.9855296372,30009
M010137,40.74423351,-73.9855296372,40001
