shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Q010125,40.70784898,-73.7955177288,10001
Q010125,40.7078588509,-73.7955119275,10002
Q010125,40.7079574055,-73.7953673498,10003
Q010125,40.7080480848,-73.7954247817,10004
Q010125,40.7077230394,-73.7963166767,10005
Q010125,40.7085968897,-73.7968911137,10006
Q010125,40.7091192493,-73.7972199185,10007
Q010125,40.7091192493,-73.7972199185,20001
Q010125,40.7092701038,-73.7973146832,20002
Q010125,40.7095319766,-73.7963941095,20003
Q010125,40.7097529271,-73.7956179335,20004
Q010125,40.7100120995,-73.7947298177,20005
Q010125,40.7102993112,-73.7940226803,20006
Q010125,40.7102993112,-73.7940226803,30001
Q010125,40.7103509597,-73.7938955538,30002
Q010125,40.7107089881,-73.7930395796,30003
Q010125,40.7110694748,-73.7920284853,30004
Q010125,40.7114326908,-73.7910137643,30005
Q010125,40.7114698295,-73.7909090427,30006
Q010125,40.7114698295,-73.7909090427,40001
Q010125,40.7117166948,-73.7902157072,40002
Q010125,40.7119951971,-73.7894140536,40003
Q010125,40.712027936,-73.7893057369,40004
Q010125,40.7120713235,-73.7890170311,40005
Q010125,40.7120610925,-73.7888262475,40006
Q010125,40.7120610925,-73.7888262475,50001
Q010125,40.7120599609,-73.7888078548,50002
Q010125,40.7120293449,-73.7885770971,50003
Q010125,40.7119851705,-73.7884365601,50004
Q010125,40.7118692741,-73.7881014679,50005
Q010125,40.7118221416,-73.787845514,50006
Q010125,40.7118054803,-73.7877409613,50007
Q010125,40.7117996781,-73.7875714464,50008
Q010125,40.7118235275,-73.7872579138,50009
Q010125,40.7118235275,-73.7872579138,60001
Q010125,40.7118264727,-73.7872178656,60002
Q010125,40.7122841351,-73.7853551306,60003
Q010125,40.7124938093,-73.7844598868,60004
Q010125,40.7127089592,-73.7835610123,60005
Q010125,40.71290589,-73.7827563382,60006
Q010125,40.71290589,-73.7827563382,70001
Q010125,40.7129377577,-73.782626016,70002
Q010125,40.7130031409,-73.7823660873,70003
Q010125,40.713139279,-73.7817848889,70004
Q010125,40.7134279528,-73.7805899664,70005
Q010125,40.7136027759,-73.7798614596,70006
Q010125,40.7136027759,-73.7798614596,80001
Q010125,40.7136349072,-73.7797271658,80002
Q010125,40.7138473586,-73.778871556,80003
