shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
X10367,40.5607717503,-74.1710136518,10001
X10367,40.560683125,-74.1709921912,10002
X10367,40.5604444081,-74.1709375964,10003
X10367,40.5603868316,-74.1708942621,10004
X10367,40.5604563229,-74.1703078162,10005
X10367,40.560366448,-74.1698325304,10006
X10367,40.5602429854,-74.1697962275,10007
X10367,40.5596832383,-74.1696652453,10008
X10367,40.5595598446,-74.1695821579,10009
X10367,40.5591263208,-74.169476691,10010
X10367,40.5584101623,-74.1693165267,10011
X10367,40.5576994772,-74.1691671761,10012
X10367,40.5569723443,-74.1690033921,10013
X10367,40.5566941139,-74.1689400706,10014
X10367,40.5566941139,-74.1689400706,20001
X10367,40.556269909,-74.1688432728,20002
X10367,40.5555674734,-74.1686831568,20003
X10367,40.5548513136,-74.1685230096,20004
X10367,40.5541324034,-74.1683664575,20005
X10367,40.5534327119,-74.1682063586,20006
X10367,40.5529470301,-74.1681043775,20007
X10367,40.5527165407,-74.1680534186,20008
X10367,40.5520761115,-74.167910388,20009
X10367,40.5520761115,-74.167910388,30001
X10367,40.5520003798,-74.167893285,30002
X10367,40.5518878852,-74.1678642146,30003
X10367,40.5512897083,-74.1677331685,30004
X10367,40.5505735469,-74.1675730418,30005
X10367,40.550256077,-74.1675013577,30006
X10367,40.550256077,-74.1675013577,40001
X10367,40.5498793384,-74.1674165718,40002
X10367,40.549165916,-74.167260057,40003
X10367,40.5488767069,-74.1671956432,40004
X10367,40.5488767069,-74.1671956432,50001
X10367,40.548447009,-74.1670999335,50002
X10367,40.5481095033,-74.1670271244,50003
X10367,40.5478736075,-74.1669185875,50004
X10367,40.547777665,-74.1668319902,50005
X10367,40.5477036547,-74.166763439,50006
X10367,40.5474516238,-74.1664245776,50007
X10367,40.5473421081,-74.1662335996,50008
X10367,40.5471088521,-74.1661970373,50009
X10367,40.5453967469,-74.1657430157,50010
X10367,40.5446532692,-74.1654893069,50011
X10367,40.5444338096,-74.1654024101,50012
X10367,40.5443378037,-74.1653589959,50013
X10367,40.5442747614,-74.1652976731,50014
X10367,40.544203495,-74.165229134,50015
X10367,40.5441127854,-74.1651292441,50016
X10367,40.5441127854,-74.1651292441,60001
X10367,40.5438006452,-74.1647855813,60002
X10367,40.5433018853,-74.1642302603,60003
X10367,40.5432224198,-74.1641365172,60004
X10367,40.5426412973,-74.1635917981,60005
X10367,40.541503712,-74.1625276336,60006
X10367,40.5412446708,-74.162284866,60007
X10367,40.5412446708,-74.162284866,70001
X10367,40.5398973721,-74.1610234398,70002
X10367,40.5383348791,-74.1595554004,70003
X10367,40.53807474,-74.1593079762,70004
X10367,40.53807474,-74.1593079762,80001
X10367,40.5378990297,-74.1591406239,80002
X10367,40.5372356435,-74.1585202455,80003
X10367,40.5366243507,-74.1579395764,80004
X10367,40.5363667249,-74.1576583532,80005
X10367,40.5362132776,-74.1574673177,80006
X10367,40.5359668268,-74.1570422204,80007
X10367,40.5353535012,-74.1559327289,80008
X10367,40.5351711439,-74.1556031271,80009
X10367,40.5351711439,-74.1556031271,90001
