,Accommodates,Accuracy,Air Conditioning,Bathrooms,Bed type,Bedrooms,Beds,Breakfast,Buzzer/Wireless Intercom,Cable TV,Cancellation,Carbon Monoxide Detector,Check In,Check Out,Checkin,Cleaning_Fee,Cleanliness,Communication,Doorman,Dryer,Elevator in Building,Essentials,Extra_People,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Heating,Hot Tub,Indoor Fireplace,Internet,Kitchen,Lat,ListingID,Location,Long,Monthly_Price,Pets Allowed,Pool,Price,Property type,Safety Card,Security_Deposit,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Title,URL,UserID,Value,Washer,Weekly_Price,Wheelchair Accessible,Wireless Internet
0,3,Not Found,1,1.5,Not Found,1,2,1,1,0,Flexible,0,Not Found,Not Found,Not Found,$30,Not Found,Not Found,0,1,0,1,$20 / night after 2 guests,0,0,0,0,1,1,0,0,1,1,40.780074512036286,6699291,Not Found,-73.97746009918947,Not Found,0,1,135,Apartment,1,Not Found,0,1,0,1,1,Large & sunny 1br apartment!,https://www.airbnb.com/rooms/6699291,5293190,Not Found,1,Not Found,1,1
1,2,Not Found,1,1,Real Bed,1,1,1,1,0,Strict,0,12:00 PM (noon),12:00 PM (noon),Not Found,$54,Not Found,Not Found,0,1,1,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.75966758452957,6958139,Not Found,-73.99190066583202,$2100,0,1,96,Apartment,1,$500,0,1,0,1,1,Cosy room in Hells Kitchen,https://www.airbnb.com/rooms/6958139,20832071,Not Found,1,$600,1,1
2,4,Not Found,1,1,Not Found,1,2,1,0,1,Flexible,0,Not Found,Not Found,Not Found,$50,Not Found,Not Found,0,1,0,1,$35 / night after 3 guests,0,0,0,0,1,1,0,0,1,1,40.72704915546615,7161586,Not Found,-73.9813403057607,Not Found,0,1,139,Apartment,1,Not Found,1,1,0,1,1,Perfect East Village Escape,https://www.airbnb.com/rooms/7161586,11948157,Not Found,1,Not Found,1,1
3,2,4.5,0,1,Real Bed,0,1,1,0,1,Flexible,0,Not Found,Not Found,4.5,Not Found,4.5,5.0,0,1,1,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.74399926660595,4690677,4.5,-73.99069586750309,Not Found,0,1,175,Apartment,1,Not Found,0,0,0,1,1,Flatiron studio next to Madison Pk,https://www.airbnb.com/rooms/4690677,19007585,4.5,1,Not Found,1,1
4,4,Not Found,1,1,Not Found,1,2,1,1,0,Flexible,1,1:00 PM,11:00 AM,Not Found,$75,Not Found,Not Found,0,1,1,1,Not Found,1,1,1,0,1,1,0,0,0,1,40.78717582722338,7193730,Not Found,-73.97314860739861,$4200,0,1,150,Apartment,1,Not Found,0,1,0,1,0,Bright Modern Bohemian Apartment,https://www.airbnb.com/rooms/7193730,2420320,Not Found,1,$1150,1,1
5,3,Not Found,0,1,Not Found,0,3,0,0,0,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,0,0,0,No Charge,0,0,0,0,0,0,0,0,0,0,40.775226992152696,7194600,Not Found,-73.9541703223343,$2604,0,0,124,Apartment,0,Not Found,0,0,0,0,0,New York City Country Cottage,https://www.airbnb.com/rooms/7194600,37676372,Not Found,0,$738,0,0
6,2,Not Found,1,1,Real Bed,0,1,1,1,0,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,No Charge,1,1,0,0,1,1,0,0,0,1,40.78266778412028,6909447,Not Found,-73.97660701087594,Not Found,0,1,130,Apartment,1,Not Found,1,1,0,1,0,Cozy & perfectly located Studio,https://www.airbnb.com/rooms/6909447,36207962,Not Found,1,Not Found,1,1
7,2,Not Found,1,1,Real Bed,1,1,1,1,0,Strict,1,3:00 PM,12:00 PM (noon),Not Found,$50,Not Found,Not Found,0,1,1,1,$25 / night after the first guest,1,1,1,0,1,1,0,0,1,1,40.84918324884801,6421978,Not Found,-73.92865019100226,$1100,0,1,42,Apartment,1,$250,0,1,0,1,1,Private room  - MANHATTAN,https://www.airbnb.com/rooms/6421978,33132886,Not Found,1,$300,1,1
8,2,Not Found,1,1,Real Bed,0,1,1,1,0,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.77689985318492,7129896,Not Found,-73.97879644276699,Not Found,0,1,110,Apartment,1,Not Found,1,1,1,1,0,Small studio near Central Park,https://www.airbnb.com/rooms/7129896,3974045,Not Found,1,Not Found,1,1
9,2,Not Found,1,1,Real Bed,0,1,1,0,1,Moderate,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,No Charge,0,0,1,0,1,1,0,0,1,1,40.78173350791968,7216203,Not Found,-73.94806596868347,$3800,0,1,175,Apartment,1,Not Found,0,1,0,1,1,1st Floor UES studio with backyard!,https://www.airbnb.com/rooms/7216203,35632073,Not Found,1,$1100,1,1
10,3,Not Found,1,1,Not Found,0,2,1,1,0,Flexible,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,1,1,No Charge,1,0,0,0,1,1,0,0,1,1,40.78194228508996,6689632,Not Found,-73.97574993032423,Not Found,0,1,158,Apartment,1,Not Found,1,1,0,1,0,"Cozy, Sunny UWS Studio!",https://www.airbnb.com/rooms/6689632,35013117,Not Found,1,Not Found,1,1
11,1,Not Found,1,0.5,Real Bed,1,1,1,1,0,Moderate,1,3:00 PM,12:00 PM (noon),Not Found,$8,Not Found,Not Found,1,1,1,1,Not Found,1,1,0,0,1,1,0,0,1,1,40.74602233238009,6423027,Not Found,-73.97865953518158,Not Found,0,1,68,Apartment,1,Not Found,1,1,0,1,0,private bedroom in midtown,https://www.airbnb.com/rooms/6423027,9316570,Not Found,1,Not Found,1,1
12,2,4.5,1,1,Real Bed,1,1,1,1,0,Moderate,1,9:00 AM,11:00 AM,4.5,Not Found,4.5,4.5,0,1,1,1,No Charge,0,0,0,0,1,1,0,0,0,1,40.76211300860707,6778238,5.0,-73.98574677691036,$2040,0,1,90,Apartment,1,Not Found,0,1,0,1,1,Private Room in Midtown NYC,https://www.airbnb.com/rooms/6778238,35323444,4.5,1,$577,1,1
13,2,Not Found,1,1,Pull-out Sofa,1,1,1,0,1,Flexible,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,No Charge,1,0,0,0,1,1,0,0,1,1,40.78778162978373,6980669,Not Found,-73.97287583271971,$3024,0,1,144,Townhouse,1,Not Found,1,1,0,1,1,Townhouse & Garden Private Bed/Bath,https://www.airbnb.com/rooms/6980669,36603478,Not Found,1,$850,1,1
14,2,4.5,1,1,Real Bed,0,1,1,0,1,Strict,0,2:00 PM,11:00 AM,4.5,$45,4.0,4.5,0,1,1,1,No Charge,0,0,0,0,1,1,0,0,0,1,40.75128209311869,593292,5.0,-73.97658015923106,$3450,0,1,165,Apartment,1,$95,1,0,0,1,1,Penthouse Studio East 50s Terrace,https://www.airbnb.com/rooms/593292,2929585,4.5,1,$950,1,1
15,2,Not Found,0,1,Airbed,1,1,1,0,0,Moderate,0,6:00 PM,Not Found,Not Found,$10,Not Found,Not Found,0,1,0,1,No Charge,0,0,0,1,1,1,1,0,1,1,40.79735075617619,7150445,Not Found,-73.96149978367531,Not Found,0,1,79,Apartment,1,$100,1,1,0,1,0,"1Bed on Upper West Side 5min to B,C",https://www.airbnb.com/rooms/7150445,23681631,Not Found,1,Not Found,1,1
16,1,5.0,0,1,Airbed,1,1,1,0,0,Strict,0,6:00 PM,8:00 AM,4.0,Not Found,4.5,4.5,0,1,0,1,Not Found,0,0,0,0,1,1,0,0,0,1,40.7977966258606,6512112,4.0,-73.93807700900562,Not Found,0,1,25,Apartment,1,Not Found,0,1,0,1,0,Air Bed.,https://www.airbnb.com/rooms/6512112,33922512,4.5,1,Not Found,1,1
17,6,4.5,1,1,Not Found,1,2,1,1,0,Strict,1,2:00 PM,12:00 PM (noon),4.5,$100,4.5,4.5,0,1,0,1,$20 / night after 4 guests,0,1,1,0,1,1,0,0,0,1,40.790073594580434,2271266,4.5,-73.97179708177178,$5700,0,1,250,Apartment,1,$200,1,1,0,1,1,Entire Duplex! 1 Block Central Park,https://www.airbnb.com/rooms/2271266,10507472,4.5,1,$1488,1,1
18,1,4.0,1,1,Real Bed,1,1,1,0,0,Moderate,0,Not Found,Not Found,5.0,Not Found,4.5,5.0,0,1,1,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.79320766774083,6515263,5.0,-73.97535698015427,Not Found,0,1,80,Loft,1,Not Found,1,0,0,1,0,Amazing studio heart of Manhattan!,https://www.airbnb.com/rooms/6515263,34066823,4.5,1,Not Found,1,1
19,2,5.0,1,1,Real Bed,0,1,1,1,0,Strict,1,3:00 PM,2:00 PM,5.0,$45,4.5,5.0,0,1,0,1,No Charge,1,0,1,0,1,1,0,0,0,1,40.78828808236039,5340020,4.5,-73.94850060329475,Not Found,0,1,89,Apartment,1,$125,1,1,0,1,0,"Cozy Spot,Central Park & Mt Sinai!",https://www.airbnb.com/rooms/5340020,13304917,5.0,1,Not Found,1,1
