Year,Inflation Rate
2015,0
2014,0.0158
2013,0.0159
2012,0.0293
2011,0.0163
2010,0.0263
2009,0.0003
2008,0.0428
2007,0.0208
2006,0.0399
2005,0.0297
2004,0.0193
2003,0.026
2002,0.0114
2001,0.0373
2000,0.0274
1999,0.0167
1998,0.0157
1997,0.0304
1996,0.0273
1995,0.028
1994,0.0252
1993,0.0326
1992,0.026
1991,0.0565
1990,0.052
1989,0.0467
1988,0.0405
1987,0.0146
1986,0.0389
1985,0.0353
1984,0.0419
1983,0.0371
1982,0.0839
1981,0.1183
1980,0.1391
1979,0.0928
1978,0.0684
1977,0.0522
1976,0.0672
1975,0.118
1974,0.0939
1973,0.0365
1972,0.0327
1971,0.0529
1970,0.0618
1969,0.044
1968,0.0365
1967,0.0346
1966,0.0192
1965,0.0097
1964,0.0164
1963,0.0133
1962,0.0067
1961,0.0171
1960,0.0103
1959,0.014
1958,0.0362
1957,0.0299
1956,0.0037
1955,-0.0074
1954,0.0113
1953,0.0038
1952,0.0433
1951,0.0809
1950,-0.0208
1949,0.0127
1948,0.1023
1947,0.1813
1946,0.0225
1945,0.023
1944,0.0296
1943,0.0764
1942,0.1135
1941,0.0144
1940,-0.0071
1939,-0.0141
1938,0.0071
1937,0.0217
1936,0.0147
1935,0.0303
1934,0.0233
1933,-0.0979
1932,-0.1006
1931,-0.0702
1930,0
1929,-0.0116
1928,-0.0114
1927,-0.0223
1926,0.0347
1925,0
1924,0.0298
1923,-0.0059
1922,-0.1105
1921,-0.0155
1920,0.1697
1919,0.1786
1918,0.1966
1917,0.125
1916,0.0297
1915,0.01
1914,0.0204
1913,0.0734
1912,-0.0108
1911,-0.0677
1910,0.1074
1909,0.0323
1908,-0.0215
1907,0.0449
1906,0
1905,0.0229
1904,-0.0439
1903,0.0962
1902,0.0246
1901,-0.0241
1900,0.1686
1899,0.015
1898,0.0294
1897,-0.0285
1896,0.0137
1895,-0.0409
1894,-0.1329
1893,0.0778
1892,-0.0603
1891,0.025
1890,-0.0476
1889,-0.0454
1888,0.0476
1887,0
1886,-0.035
1885,-0.1029
1884,-0.0761
1883,-0.0187
1882,0.0807
1881,-0.0571
1880,0.2065
1879,-0.1029
1878,-0.1563
1877,0.0083
1876,-0.0573
1875,-0.0695
1874,-0.044
1873,0.0229
1872,0.0152
