,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
0,2,2,2014-10-31,22-222,CLE,@,CHI,W (+6),1,34:30,6,17,.353,1,3,.333,10,10,1.000,0,1,1,3,0,0,4,4,23,10.3,-1,27.3
1,3,3,2014-11-04,22-226,CLE,@,POR,L (-19),1,36:57,3,17,.176,1,5,.200,2,2,1.000,0,1,1,5,1,0,1,1,9,1.7,-14,19.8
2,4,4,2014-11-05,22-227,CLE,@,UTA,L (-2),1,44:38,12,23,.522,2,5,.400,8,10,.800,0,1,1,0,2,0,1,2,34,22.4,+1,39.8
3,5,5,2014-11-07,22-229,CLE,@,DEN,W (+9),1,39:10,5,11,.455,2,4,.500,0,0,,0,4,4,6,0,0,1,1,12,10.3,+13,26.5
4,6,6,2014-11-10,22-232,CLE,,NOP,W (+7),1,40:36,11,21,.524,4,7,.571,6,7,.857,1,4,5,9,0,0,1,2,32,27.7,+1,53.3
5,7,7,2014-11-14,22-236,CLE,@,BOS,W (+1),1,40:32,8,16,.500,3,7,.429,8,9,.889,2,2,4,5,3,1,0,1,27,27.4,+5,49.0
6,8,8,2014-11-15,22-237,CLE,,ATL,W (+33),1,27:08,6,9,.667,4,7,.571,4,4,1.000,0,3,3,5,3,0,0,1,20,23.1,+23,39.3
7,9,9,2014-11-17,22-239,CLE,,DEN,L (-9),1,39:18,5,12,.417,4,6,.667,6,6,1.000,1,3,4,8,2,0,4,1,20,18.4,-3,41.0
8,10,10,2014-11-19,22-241,CLE,,SAS,L (-2),1,37:28,7,15,.467,3,4,.750,3,4,.750,1,3,4,3,3,0,2,5,20,14.6,+5,36.0
9,11,11,2014-11-21,22-243,CLE,@,WAS,L (-13),1,40:54,7,16,.438,0,6,.000,8,10,.800,1,5,6,2,1,0,3,1,22,14.0,-7,33.0
10,12,12,2014-11-22,22-244,CLE,,TOR,L (-17),1,36:45,7,14,.500,2,5,.400,5,7,.714,0,3,3,6,1,2,3,3,21,16.5,-10,39.3
11,13,13,2014-11-24,22-246,CLE,,ORL,W (+32),1,31:02,5,9,.556,1,2,.500,1,1,1.000,0,1,1,4,4,0,0,2,12,14.0,+27,27.8
12,14,14,2014-11-26,22-248,CLE,,WAS,W (+26),1,32:50,7,15,.467,3,5,.600,1,4,.250,0,1,1,5,3,0,1,3,18,13.7,+20,33.8
13,15,15,2014-11-29,22-251,CLE,,IND,W (+12),1,35:46,9,17,.529,3,6,.500,3,4,.750,0,10,10,5,0,3,1,1,24,22.5,+32,52.5
14,16,16,2014-12-02,22-254,CLE,,MIL,W (+3),1,40:32,10,15,.667,0,3,.000,8,10,.800,0,2,2,6,1,1,1,4,28,24.6,+4,43.0
15,17,17,2014-12-04,22-256,CLE,@,NYK,W (+3),1,44:10,12,18,.667,3,6,.500,10,11,.909,0,3,3,2,2,0,3,1,37,29.7,+7,47.8
16,18,18,2014-12-05,22-257,CLE,@,TOR,W (+14),1,38:23,7,16,.438,1,3,.333,0,0,,3,1,4,6,2,1,1,1,15,14.5,+16,35.0
17,19,19,2014-12-08,22-260,CLE,@,BRK,W (+22),1,28:11,2,10,.200,0,1,.000,3,3,1.000,0,1,1,5,1,0,1,3,7,3.4,+16,17.3
18,20,20,2014-12-09,22-261,CLE,,TOR,W (+4),1,42:27,5,12,.417,1,5,.200,2,2,1.000,0,1,1,10,2,0,2,3,13,12.7,+5,34.3
