,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
0,2,2,2014-10-31,26-054,CLE,@,CHI,W (+6),1,41:09,5,17,.294,1,6,.167,5,6,.833,2,14,16,1,4,0,0,2,16,15.2,+7,47.5
1,3,3,2014-11-04,26-058,CLE,@,POR,L (-19),1,35:32,7,14,.500,5,8,.625,3,3,1.000,1,9,10,2,0,0,1,4,22,17.2,-10,41.0
2,4,4,2014-11-05,26-059,CLE,@,UTA,L (-2),1,38:04,2,10,.200,1,5,.200,9,11,.818,0,8,8,1,1,0,1,4,14,8.5,0,27.5
3,5,5,2014-11-07,26-061,CLE,@,DEN,W (+9),1,36:08,6,16,.375,0,5,.000,7,8,.875,2,6,8,1,0,1,2,4,19,10.8,+13,31.5
4,6,6,2014-11-10,26-064,CLE,,NOP,W (+7),1,38:41,7,13,.538,6,9,.667,2,2,1.000,1,4,5,2,1,0,1,2,22,18.2,+1,35.8
5,7,7,2014-11-14,26-068,CLE,@,BOS,W (+1),1,37:07,2,10,.200,0,3,.000,8,12,.667,3,12,15,4,0,1,1,4,12,10.8,+2,39.8
6,8,8,2014-11-15,26-069,CLE,,ATL,W (+33),1,30:29,5,12,.417,3,7,.429,0,0,,0,6,6,5,0,0,1,1,13,10.5,+9,29.0
7,9,9,2014-11-17,26-071,CLE,,DEN,L (-9),1,37:56,7,13,.538,1,5,.200,5,6,.833,3,8,11,1,0,0,2,3,20,15.3,-14,36.3
8,10,10,2014-11-19,26-073,CLE,,SAS,L (-2),1,35:04,4,12,.333,0,2,.000,2,2,1.000,4,7,11,4,1,1,2,3,10,9.4,-4,34.3
9,11,11,2014-11-21,26-075,CLE,@,WAS,L (-13),1,31:16,3,8,.375,2,4,.500,0,0,,1,7,8,2,1,0,4,3,8,3.6,-10,22.0
10,12,12,2014-11-22,26-076,CLE,,TOR,L (-17),1,33:39,8,16,.500,0,1,.000,7,7,1.000,1,6,7,1,1,0,0,5,23,17.2,+1,35.3
11,13,13,2014-11-24,26-078,CLE,,ORL,W (+32),1,32:22,5,11,.455,0,1,.000,2,4,.500,2,6,8,5,2,0,1,2,12,12.4,+26,33.0
12,14,14,2014-11-26,26-080,CLE,,WAS,W (+26),1,28:50,7,10,.700,1,2,.500,6,7,.857,2,3,5,0,0,1,2,5,21,15.4,+26,28.8
13,15,15,2014-11-29,26-083,CLE,,IND,W (+12),1,33:25,9,13,.692,2,3,.667,8,9,.889,3,7,10,2,2,0,2,3,28,26.5,+19,49.0
14,16,16,2014-12-02,26-086,CLE,,MIL,W (+3),1,39:47,10,16,.625,4,8,.500,3,5,.600,2,9,11,0,0,1,7,2,27,16.0,+14,42.8
15,17,17,2014-12-04,26-088,CLE,@,NYK,W (+3),1,38:57,4,11,.364,0,2,.000,3,4,.750,2,9,11,2,0,1,1,1,11,9.3,+13,30.8
16,18,18,2014-12-05,26-089,CLE,@,TOR,W (+14),1,40:24,5,13,.385,3,8,.375,2,2,1.000,0,13,13,0,0,0,4,1,15,7.4,+14,32.3
17,19,19,2014-12-08,26-092,CLE,@,BRK,W (+22),1,31:53,7,14,.500,2,5,.400,3,6,.500,3,11,14,1,0,0,1,1,19,15.5,+12,40.0
18,20,20,2014-12-09,26-093,CLE,,TOR,W (+4),1,35:42,6,15,.400,1,5,.200,4,4,1.000,3,6,9,4,0,1,3,0,17,13.3,+1,35.3
19,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
