,nameCT,,categoriesCT,descCT,doublon,priceOCT,priceFinalCT,priceFinalAddCT
0,southern blueberries,southern blueberries,Produce,Fresh 1 Pint Cntr. *RASPBERRIES Imported 6 Oz. Pkg. *BLACKBERRIES Imported 6 Oz. Pkg.,1,1.99,1.99,
1,apple & eve apple juice,apple & eve apple juice,Beverages,Clear or Natural Style 64 Oz. Btl.,1,1.99,1.99,
2,bounty towels bundle pk,bounty towels bundle pk,General Merchandise,"w/Prints, White, or Select-A-Size (40-70 sh.) 8 Roll Pkg. or Charmin Ultra Soft or Ultra Strong Bathroom Tissue: Mega Roll (6 Pk. 328-330 sh.) or Double Roll (12 Pk. 164-165 sh.)",1,7.99,7.99,
3,butterball chicken breast,butterball chicken breast,Deli,Freshly Sliced To Order,1,6.99 lb.,6.99, lb.
4,classico pasta sauce,classico pasta sauce,Grocery,15-24 Oz. Jars or Pesto Sauce (8.1 Oz.),1,1.99,1.99,
5,clorox liquid bleach,clorox liquid bleach,General Merchandise,64 Oz. Btl. or Smart Seek or Splash-Less (55 Oz.),1,2.49,2.49,
6,coca-cola,coca-cola,Beverages,"or Regular or Diet: All Varieties: Fuze, Minute Maid, Barq's, Seagram's, Fresca, Dr. Pepper, Sprite, 2 Ltr. Btls.",1,3 FOR $4,1.333,3
7,cooked large shrimp,cooked large shrimp,Seafood,31/40 Ct. 1 lb. Bag,1,8.99,8.99,
8,dawn dish liquid,dawn dish liquid,General Merchandise,Assorted Varieties 9 Oz. Btl.,1,99¢,0.99,
9,era 2x liquid detergent,era 2x liquid detergent,General Merchandise,"26-32 Load: Oxi Booster, Free, or Regular 50 Oz. Btl.",1,2.99,2.99,
10,fresh baby back pork ribs,fresh baby back pork ribs,Meat,Western Grain Fed,1,3.99 lb.,3.99, lb.
11,fresh express baby blends,fresh express baby blends,Produce,"Spinach, Spring Mix, Spinach & Arugula, Sweet & Crunchy, 50/50 Mix, Baby Kale Mix, or Veggie Spring Mix 5-7 Oz. Pkg.",1,2 FOR $5,2.5,2
12,fresh ground beef,fresh ground beef,Meat,"80% Lean, Family Pack",1,3.99 lb.,3.99, lb.
13,gatorade thirst quencher,gatorade thirst quencher,Beverages,8 Pk. 20 Oz. Btls.,1,5.99,5.99,
14,gourmet boutique chicken cutlets,gourmet boutique chicken cutlets,Deli,"Breaded, Grilled, or Lemon Grilled JUST HEAT & SERVE",1,7.99 lb.,7.99, lb.
