,category,item_name
0,4mm,hmr_fresh_tbrennan
1,4mm,hmr_breakfast
2,4mm,hmr_comfort
3,4mm,hmr_fresh_tabla
4,4mm,hmr_fresh
5,4mm,hmr_fresh_rosa
6,4mm,hmr_mediterranean
7,4mm,hmr_fresh_sias
8,4mm,hmr_fresh_vegcuisine
9,4mm,hmr_fresh_tbrennan
10,4mm,hmr_breakfast
11,4mm,hmr_comfort
12,4mm,hmr_fresh_tabla
13,4mm,hmr_fresh
14,4mm,hmr_fresh_rosa
15,4mm,hmr_mediterranean
16,4mm,hmr_fresh_sias
17,4mm,hmr_fresh_vegcuisine
18,4mm,hmr_frzn_entree
19,4mm,hmr_fresh_ss
20,4mm,hmr_fresh_ss
21,4mm,hmr_fresh
22,4mm,hmr_fresh_sias
23,4mm,hmr_fresh_ss
24,4mm,hmr_fresh
25,4mm,hmr_fresh_sias
26,shop,bby_sale
27,shop,bby_natural
28,shop,bby_new
29,buybig,bby_family_size
30,bakery,bgtt
31,bakery,bak_bagelcrsnt
32,bakery,bak_fsh
33,bakery,bfruitnutherb
34,bakery,ppry
35,bakery,bak_rolls
36,bakery,srdh
37,bakery,whit
38,bakery,pullman
39,bakery,whlmlt
40,bakery,cake
41,bakery,chclt
42,bakery,ckibni
43,bakery,bak_mini
44,bakery,bak_cake_coffee
45,bakery,pietrt
46,bakery,pudfl
47,bakery,bak_bagelcrsnt
48,bakery,bgtt
49,bakery,cake
50,bakery,chclt
51,bakery,ckibni
52,bakery,bak_fsh
53,bakery,bfruitnutherb
54,bakery,bak_mini
55,bakery,bak_cake_coffee
56,bakery,pietrt
57,bakery,pudfl
58,bakery,pullman
59,bakery,ppry
60,bakery,bak_rolls
61,bakery,srdh
62,bakery,whit
63,bakery,whlmlt
64,shop,bky_sale
65,shop,bky_new
66,grocery,gro_beer
67,pantry,gro_coffe
68,beverages,gro_bever_dieta
69,grocery,gro_beer
70,beverages,gro_bever_dieta
71,shop,bev_sale
72,shop,bev_organic
73,shop,gro_bev_new
74,beverages,bev_family_size
75,picks,bev_gluten_free
76,shop,bev_kos
77,shop,bev_local
78,catering,cat_horsdoeuvr
79,catering,cat_hot_hrsdrvs
80,catering,cat_breakfast
81,catering,cat_entree
82,catering,cat_salads
83,catering,cat_sandplat
84,catering,cat_snacks
85,catering,cat_sweets
86,catering,cat_horsdoeuvr
87,catering,cat_hot_hrsdrvs
88,catering,cat_breakfast
89,catering,cat_entree
90,catering,cat_salads
91,catering,cat_sandplat
92,catering,cat_snacks
93,catering,cat_sweets
94,shop,cat_new
95,catering,cat_pack
96,catering,cat_kids
97,catering,cat_paper
98,catering,cat_popbev
99,catering,cat_horsdoeuvr
100,catering,cat_sandplat
101,catering,cat_hot_hrsdrvs
102,catering,cat_horsdoeuvr
103,catering,cat_sandplat
104,catering,cat_hot_hrsdrvs
105,cheese,blues
106,cheese,briefriend
107,cheese,chedjack
108,cheese,feta
109,cheese,gouda
110,cheese,mozza
111,cheese,che_frmstartsnl
112,cheese,parmgrat
113,cheese,sheep
114,cheese,swissmtn
115,cheese,che_frm
116,cheese,semisoft
117,cheese,fshsft
118,cheese,blues
119,cheese,briefriend
120,cheese,chedjack
121,cheese,feta
122,cheese,che_frm
123,cheese,gouda
124,cheese,mozza
125,cheese,che_frmstartsnl
126,cheese,parmgrat
127,cheese,semisoft
128,cheese,sheep
129,cheese,fshsft
130,cheese,swissmtn
131,shop,che_sale
132,cheese,che_our_favorite_cheese
133,cheese,che_delislc
134,cheese,lwfatnond
135,cheese,che_dai_chees
136,cheese,che_partners
137,cheese,cheboards
138,cheese,che_by_rgn
139,cheese,che_stnk
140,cheese,parmgrat
141,cheese,chedjack
142,cheese,swissmtn
143,cheese,mozza
144,cheese,parmgrat
145,cheese,chedjack
146,cheese,swissmtn
147,cheese,mozza
148,dairy,dai_yogur
149,dairy,dai_milk_milk
150,dairy,dai_milk_cream
151,dairy,dai_chees
152,dairy,dai_juice
153,dairy,dai_eggs
154,dairy,dai_packa
155,dairy,dai_butte
156,dairy,dai_dough
157,dairy,dai_pasta
158,dairy,dai_cotta
159,dairy,dai_crmch
160,dairy,dai_humm
161,dairy,dai_condi_salsa
162,dairy,dai_prepa
163,dairy,dai_puddi
164,dairy,dai_condi
165,dairy,dai_sour
166,dairy,dai_soy
167,dairy,dai_dough
168,dairy,dai_butte
169,dairy,dai_pasta
170,dairy,dai_packa
171,dairy,dai_cotta
172,dairy,dai_milk_cream
173,dairy,dai_crmch
174,dairy,dai_condi
175,dairy,dai_eggs
176,dairy,dai_humm
177,dairy,dai_juice
178,dairy,dai_prepa
179,dairy,dai_milk_milk
180,dairy,dai_chees
181,dairy,dai_puddi
182,dairy,dai_condi_salsa
183,dairy,dai_sour
184,dairy,dai_soy
185,dairy,dai_yogur
186,shop,dai_sale
187,shop,dai_organic
188,shop,dai_new
189,buybig,dai_family_size
190,deli,dlich
191,deli,cccm
192,deli,deli_salad_all
193,deli,deli_bundles
194,deli,del_pkgcchd
195,deli,pack_sausage
196,deli,del_bagels
197,deli,cream_cheese
198,deli,knpi
199,deli,scf
200,deli,anti
201,deli,bcn
202,deli,spreads_dips
203,deli,olive
204,deli,del_frshpas
205,deli,pate
206,deli,picl
207,deli,deli_quiche
208,deli,truf
209,deli,anti
210,deli,bcn
211,deli,del_bagels
212,deli,dlich
213,deli,cccm
214,deli,cream_cheese
215,deli,deli_salad_all
216,deli,deli_bundles
217,deli,deli_grnsalad
218,deli,pack_sausage
219,deli,spreads_dips
220,deli,knpi
221,deli,olive
222,deli,del_pkgcchd
223,deli,del_frshpas
224,deli,pate
225,deli,picl
226,deli,deli_quiche
227,deli,scf
228,deli,truf
229,shop,del_sale
230,shop,del_organic
231,shop,del_new
232,shop,del_kosher
233,shop,del_ls
234,deli,dlich
235,deli,cccm
236,deli,deli_salad_all
237,deli,deli_bundles
238,deli,dlich
239,deli,cccm
240,deli,deli_salad_all
241,deli,deli_bundles
242,deli,dlich
243,deli,cccm
244,deli,deli_salad_all
245,deli,deli_bundles
246,deli,del_pkgcchd
247,deli,pack_sausage
248,deli,del_bagels
249,deli,cream_cheese
250,deli,knpi
251,deli,scf
252,deli,anti
253,deli,bcn
254,deli,spreads_dips
255,deli,olive
256,deli,del_frshpas
257,deli,pate
258,deli,picl
259,deli,deli_quiche
260,deli,truf
261,deli,anti
262,deli,bcn
263,deli,del_bagels
264,deli,dlich
265,deli,cccm
266,deli,cream_cheese
267,deli,deli_salad_all
268,deli,deli_bundles
269,deli,deli_grnsalad
270,deli,pack_sausage
271,deli,spreads_dips
272,deli,knpi
273,deli,olive
274,deli,del_pkgcchd
275,deli,del_frshpas
276,deli,pate
277,deli,picl
278,deli,deli_quiche
279,deli,scf
280,deli,truf
281,shop,del_sale
282,shop,del_organic
283,shop,del_new
284,shop,del_kosher
285,shop,del_ls
286,deli,dlich
287,deli,cccm
288,deli,deli_salad_all
289,deli,deli_bundles
290,deli,dlich
291,deli,cccm
292,deli,deli_salad_all
293,deli,deli_bundles
294,cheese,blues
295,cheese,briefriend
296,cheese,chedjack
297,cheese,feta
298,cheese,gouda
299,cheese,mozza
300,cheese,che_frmstartsnl
301,cheese,parmgrat
302,cheese,sheep
303,cheese,swissmtn
304,cheese,che_frm
305,cheese,semisoft
306,cheese,fshsft
307,cheese,blues
308,cheese,briefriend
309,cheese,chedjack
310,cheese,feta
311,cheese,che_frm
312,cheese,gouda
313,cheese,mozza
314,cheese,che_frmstartsnl
315,cheese,parmgrat
316,cheese,semisoft
317,cheese,sheep
318,cheese,fshsft
319,cheese,swissmtn
320,shop,che_sale
321,cheese,che_our_favorite_cheese
322,cheese,che_delislc
323,cheese,lwfatnond
324,cheese,che_dai_chees
325,cheese,che_partners
326,cheese,cheboards
327,cheese,che_by_rgn
328,cheese,che_stnk
329,cheese,parmgrat
330,cheese,chedjack
331,cheese,swissmtn
332,cheese,mozza
333,cheese,parmgrat
334,cheese,chedjack
335,cheese,swissmtn
336,cheese,mozza
337,frozen,fro_icecr
338,frozen,fro_fruit
339,frozen,fro_meals
340,frozen,fro_veget
341,frozen,frozen_meat
342,frozen,fro_break
343,frozen,fro_pizza
344,frozen,fro_appet
345,frozen,fro_bread
346,frozen,fro_deser
347,frozen,fro_fd
348,frozen,fro_juice
349,frozen,fro_meatl
350,frozen,fro_pasta
351,frozen,fro_potat
352,frozen,fro_seafo
353,frozen,fro_appet
354,frozen,fro_bread
355,frozen,fro_break
356,frozen,fro_deser
357,frozen,fro_fd
358,frozen,fro_fruit
359,frozen,fro_icecr
360,frozen,fro_juice
361,frozen,fro_meals
362,frozen,frozen_meat
363,frozen,fro_meatl
364,frozen,fro_pasta
365,frozen,fro_pizza
366,frozen,fro_potat
367,frozen,fro_seafo
368,frozen,fro_veget
369,shop,fro_sales
370,shop,organic
371,shop,fro_new_products
372,shop,fro_kosher
373,fruit,apl
374,fruit,avocados_fruit
375,fruit,ban
376,fruit,br
377,fruit,ctr
378,fruit,cfndfnuts
379,fruit,fresh_juice
380,fruit,grp
381,fruit,mln
382,fruit,pr
383,fruit,cut_fruit
384,fruit,sf
385,fruit,trp
386,fruit,apl
387,fruit,avocados_fruit
388,fruit,ban
389,fruit,br
390,fruit,ctr
391,fruit,cfndfnuts
392,fruit,fresh_juice
393,fruit,grp
394,fruit,mln
395,fruit,pr
396,fruit,cut_fruit
397,fruit,sf
398,fruit,trp
399,shop,fru_sale
400,shop,fru_top_rated
401,shop,fru_org
402,shop,fru_new
403,fruit,fru_vpaks
404,shop,fru_lcl
